[10000, 0.5]
[8240, 0.6345873786407767]
[8319, 0.6330087750931602]
[8443, 0.6381617908326425]
[8366, 0.6283767630886923]
[8468, 0.6332073689182806]
[8621, 0.6314812666743997]
[8631, 0.6327192677557641]
[8686, 0.6312456827078057]
[8651, 0.6275575078025661]
[8675, 0.6328530259365994]
[8781, 0.6240747067532172]
[8826, 0.629617040561976]
[8880, 0.627927927927928]
[8785, 0.6207171314741036]
[8777, 0.6194599521476587]
[8731, 0.6246707135494216]
[8562, 0.6148096239196449]
[8543, 0.6189863045768466]
[8664, 0.6201523545706371]
[8718, 0.6159669649002064]
[8702, 0.6123879567915421]
[8752, 0.6141453382084096]
[8880, 0.6170045045045045]
[8879, 0.6178623718887262]
[8941, 0.6111173246840398]
[8888, 0.609023402340234]
[8819, 0.6035831726953169]
[8950, 0.5966480446927375]
[8936, 0.5980304386750224]
[9021, 0.6025939474559362]
[9226, 0.5935399956644266]
[9138, 0.5885314073101335]
[9052, 0.5930181175430844]
[8958, 0.5975664210761331]
[9053, 0.6022313045399316]
[9008, 0.6031305506216696]
[9199, 0.6001739319491249]
[9032, 0.600088573959256]
[9107, 0.6044800702756121]
[9178, 0.5978426672477664]
[9176, 0.5972101133391456]
[9308, 0.5947571981091534]
[9389, 0.5856853765044201]
[9517, 0.5907323736471577]
[9589, 0.5915111064761707]
[9589, 0.5883825216393784]
[9488, 0.6022344013490725]
[9453, 0.6004443033957474]
[9398, 0.5877846350287295]
[9318, 0.5925091221292123]
[9387, 0.5997656333226803]
[9232, 0.5996533795493935]
[9088, 0.5987015845070423]
[9019, 0.5959640758398935]
[8969, 0.5987289552904449]
[9038, 0.595707014826289]
[9110, 0.6029637760702524]
[9108, 0.6030961791831357]
[9205, 0.6042368278109723]
[9272, 0.6046160483175151]
[9384, 0.6078431372549019]
[9346, 0.6150224695056709]
[9263, 0.6172946129763576]
[9142, 0.6147451323561584]
[9217, 0.6080069436910057]
[9235, 0.6153762858689767]
[9197, 0.6158529955420246]
[9240, 0.6186147186147186]
[9189, 0.6131243878550441]
[9116, 0.6193505923650724]
[8970, 0.6164994425863991]
[9000, 0.6194444444444445]
[9075, 0.6120110192837466]
[9017, 0.6076300321614728]
[9078, 0.6099361092751707]
[9031, 0.6162108293655187]
[9072, 0.6103395061728395]
[9149, 0.609902721608919]
[9184, 0.6114982578397212]
[9230, 0.6075839653304442]
[9222, 0.6120147473433095]
[9380, 0.6147121535181237]
[9322, 0.6178931559751126]
[9426, 0.6161680458306811]
[9348, 0.608793324775353]
[9267, 0.6044027193266429]
[9408, 0.5990646258503401]
[9566, 0.5923060840476688]
[9501, 0.585727818124408]
[9401, 0.5855760025529199]
[9299, 0.5917840628024519]
[9386, 0.5878968676752611]
[9280, 0.5884698275862069]
[9312, 0.5817225085910653]
[9324, 0.5806520806520806]
[9293, 0.5832346927795115]
[9274, 0.580008626266983]
[9330, 0.5756698821007503]
[9244, 0.5732366940718304]
[9331, 0.5669274461472511]
[9299, 0.5760834498333154]
[9332, 0.5804757822546078]
[9476, 0.5856901646264246]
[9524, 0.5808483830323393]
[9436, 0.5783170835099618]
[9327, 0.5711375576283907]
[9338, 0.5700364103662454]
[9206, 0.5714751249185314]
[9383, 0.568048598529255]
[9411, 0.5656147061948783]
[9464, 0.570054945054945]
[9462, 0.5679560346649757]
[9358, 0.577473819192135]
[9371, 0.5857432504535268]
[9375, 0.5906133333333333]
[9446, 0.5961253440609782]
[9377, 0.5921936653513917]
[9358, 0.5908313742252618]
[9203, 0.5964359448006085]
[9101, 0.5970772442588727]
[9136, 0.6033274956217163]
[8989, 0.6047391255979531]
[9029, 0.6012847491416546]
[9042, 0.601747401017474]
[9107, 0.5973427034149555]
[9071, 0.6028001322897145]
[9073, 0.6037694257687645]
[9016, 0.6011535048802129]
[8880, 0.5953828828828829]
[8929, 0.600851159144361]
[8870, 0.591206313416009]
[8829, 0.601540378298788]
[8823, 0.5949223620083872]
[8674, 0.5940742448697256]
[8697, 0.5858341956996665]
[8676, 0.5897879207007838]
[8757, 0.5944958319059038]
[8707, 0.5855059147812105]
[8697, 0.5850293204553294]
[8763, 0.588382973867397]
[8684, 0.5811837862736067]
[8741, 0.5810547992220569]
[8585, 0.5924286546301689]
[8536, 0.5944236176194939]
[8529, 0.5922147965763864]
[8492, 0.5946773433820066]
[8631, 0.5992353145637818]
[8671, 0.6106562103563603]
[8774, 0.6173922954182813]
[8879, 0.6160603671584638]
[8868, 0.6218989625620207]
[8965, 0.6206358059118795]
[8949, 0.6224159123924461]
[9121, 0.6128713956802982]
[9158, 0.606355099366674]
[9165, 0.611783960720131]
[9227, 0.6116831039341064]
[9252, 0.6138132295719845]
[9180, 0.6033769063180828]
[9242, 0.605280242371781]
[9242, 0.6168578229820385]
[9353, 0.6158451833636266]
[9187, 0.6220746707303799]
[9209, 0.6244977739168205]
[9169, 0.6128258261533428]
[9051, 0.6092144514418296]
[9291, 0.6100527392099881]
[9347, 0.609607360650476]
[9547, 0.6144338535665654]
[9642, 0.6187512964115329]
[9719, 0.6172445724868814]
[9783, 0.6189307983236226]
[9904, 0.619951534733441]
[9769, 0.6260620329614085]
[9828, 0.6305453805453806]
[9881, 0.6295921465438721]
[10058, 0.6227878305826208]
[9998, 0.6218243648729745]
[9875, 0.6241012658227848]
[9968, 0.6236958266452648]
[10076, 0.6190948789202064]
[10176, 0.6214622641509434]
[10213, 0.61950455302066]
[10202, 0.6147814154087434]
[10118, 0.6184028464123345]
[10081, 0.6175974605693879]
[9951, 0.6227514822630892]
[10086, 0.61967083085465]
[10008, 0.6117106314948042]
[9906, 0.6147789218655361]
[9745, 0.6151872755259107]
[9823, 0.6186501068919882]
[9811, 0.6189990826623178]
[9725, 0.620668380462725]
[9648, 0.623237976782753]
[9560, 0.628765690376569]
[9614, 0.6276263781984606]
[9599, 0.6228773830607355]
[9707, 0.6128567013495416]
[9769, 0.6180775923840721]
[9768, 0.6197788697788698]
[9932, 0.6140757148610552]
[10057, 0.6124092671770905]
[10018, 0.6127969654621681]
[10084, 0.6109678698928996]
[10037, 0.6113380492178938]
[10058, 0.609166832372241]
[10036, 0.6117975288959745]
[10114, 0.6131105398457584]
[10291, 0.6108249927120785]
[10395, 0.6089466089466089]
[10611, 0.6091791537084158]
[10537, 0.6152605105817596]
[10795, 0.6168596572487263]
[10759, 0.6205037642903616]
[10692, 0.6174710063598953]
[10855, 0.6142791340396131]
[10989, 0.6185276185276185]
[10995, 0.6163710777626193]
[11063, 0.6133056133056133]
[10901, 0.6086597559856893]
[10974, 0.6094404957171496]
[10813, 0.6215666327568667]
[10759, 0.6205967097313877]
[10884, 0.6195332598309445]
[10994, 0.6191559032199382]
[10978, 0.6237930406267079]
[10904, 0.6225238444607484]
[11002, 0.6286129794582803]
[10886, 0.6304427705309572]
[10774, 0.6300352700946723]
[10863, 0.6313173156586578]
[10740, 0.6253258845437616]
[10611, 0.6278390349637168]
[10564, 0.6285497917455509]
[10631, 0.6346533722133384]
[10694, 0.6379278099869086]
[10800, 0.6425]
[10926, 0.6441515650741351]
[10819, 0.6461780201497366]
[10711, 0.6385958360563906]
[10453, 0.6412513154118434]
[10390, 0.6398460057747835]
[10364, 0.6396179081435739]
[10265, 0.6364344861178762]
[10218, 0.6327069876688197]
[10416, 0.6283602150537635]
[10255, 0.619405168210629]
[10463, 0.6214278887508363]
[10566, 0.6215218625780806]
[10427, 0.6177232185671814]
[10516, 0.6202928870292888]
[10528, 0.6223404255319149]
[10567, 0.6209898741364626]
[10578, 0.6175080355454717]
[10443, 0.6165852724312937]
[10374, 0.6181800655484866]
[10107, 0.6174928267537351]
[10128, 0.615521327014218]
[10079, 0.6113701756126599]
[10152, 0.6135736800630418]
[10055, 0.6118349080059672]
[10128, 0.6020932069510269]
[10148, 0.5997240835632637]
[10133, 0.602980361196092]
[10110, 0.5982195845697329]
[10232, 0.6024237685691947]
[10078, 0.6037904346100417]
[10068, 0.6122367898291617]
[10214, 0.6137654200117486]
[10055, 0.6075584286424665]
[10251, 0.610769681006731]
[10273, 0.6079042149323469]
[10187, 0.6137233729262785]
[10318, 0.6132002326032177]
[10465, 0.613664596273292]
[10273, 0.613647425289594]
[10182, 0.6131408367707719]
[10194, 0.6162448499117128]
[10171, 0.6164585586471341]
[10144, 0.6251971608832808]
[10288, 0.6326788491446346]
[10183, 0.6363547088284396]
[10267, 0.6292977500730496]
[10310, 0.6231813773035888]
[10263, 0.617363344051447]
[10307, 0.6231687202871835]
[10367, 0.6253496672132729]
[10256, 0.625195007800312]
[10277, 0.626350102169894]
[10305, 0.6334788937409025]
[10303, 0.6356401048238377]
[10074, 0.6404605916219972]
[10148, 0.6453488372093024]
[10210, 0.6423114593535749]
[10397, 0.6455708377416562]
[10265, 0.639941548952752]
[10362, 0.6325998841922409]
[10384, 0.6282742681047766]
[10468, 0.6289644631257165]
[10615, 0.6221384832783796]
[10631, 0.6291976295738877]
[10488, 0.626906941266209]
[10545, 0.6271218587008061]
[10821, 0.6241567322798263]
[10738, 0.623579810020488]
[10541, 0.6286879802675268]
[10714, 0.629550121336569]
[10626, 0.6327875023527197]
[10664, 0.6290322580645161]
[10600, 0.6352830188679245]
[10800, 0.630462962962963]
[10701, 0.6276048967386225]
[10644, 0.6335963923337091]
[10480, 0.6346374045801527]
[10575, 0.6345153664302601]
[10640, 0.637593984962406]
[10536, 0.6409453302961275]
[10427, 0.637863239666251]
[10326, 0.6383885337981794]
[10393, 0.6338881939767151]
[10351, 0.6247705535697035]
[10398, 0.6248316984035391]
[10486, 0.6264543200457753]
[10457, 0.6322080902744573]
[10371, 0.6328222929322148]
[10225, 0.6322738386308069]
[10327, 0.6357122107097899]
[10468, 0.6475926633549867]
[10468, 0.6445357279327474]
[10551, 0.6442043408207753]
[10530, 0.6438746438746439]
[10453, 0.6536879364775663]
[10443, 0.6633151393277794]
[10378, 0.6612063981499325]
[10486, 0.6597367919130269]
[10449, 0.6737486840846014]
[10399, 0.6718915280315415]
[10387, 0.6802734186964475]
[10319, 0.6809768388409729]
[10498, 0.6790817298533054]
[10620, 0.6791902071563088]
[10610, 0.6793590951932139]
[10863, 0.685353953788088]
[10938, 0.6831230572316694]
[11013, 0.686461454644511]
[10981, 0.6864584281941536]
[11032, 0.6835569253081943]
[10900, 0.6847706422018348]
[10868, 0.6870629370629371]
[10898, 0.6899431088273078]
[11110, 0.6891989198919892]
[11131, 0.6900548019045908]
[11090, 0.6871956717763751]
[11154, 0.6901559978483055]
[11244, 0.6937033084311632]
[11142, 0.697720337461856]
[11212, 0.6926507313592579]
[11159, 0.6928936284613316]
[11243, 0.6902072400604821]
[11374, 0.6892913662739582]
[11305, 0.6905793896505971]
[11306, 0.6943215991508933]
[11402, 0.6954920189440449]
[11510, 0.6855777584708949]
[11342, 0.6870922235937225]
[11409, 0.6877026908580944]
[11371, 0.6843725266027614]
[11430, 0.6813648293963255]
[11249, 0.6907280647168638]
[11107, 0.6973980372737913]
[11071, 0.6982205762803722]
[10992, 0.6996906841339156]
[10888, 0.6988427626745041]
[10825, 0.7051270207852194]
[10826, 0.7025678921115832]
[10912, 0.7002382697947214]
[10909, 0.7071225593546613]
[10681, 0.7070499016945979]
[10808, 0.7047557364914878]
[10895, 0.7102340523175769]
[10950, 0.7047488584474886]
[11098, 0.7087763561001982]
[11112, 0.7122030237580994]
[11114, 0.7203527082958431]
[11086, 0.7151362078296951]
[11148, 0.7227305346250449]
[11322, 0.7195725136901607]
[11441, 0.7224892928939778]
[11595, 0.7200517464424321]
[11666, 0.7201268643922509]
[11786, 0.7235703376887833]
[11699, 0.7210017950252159]
[11729, 0.7208628186546168]
[11611, 0.7343036775471535]
[11822, 0.7372694975469464]
[11862, 0.7363007924464677]
[11867, 0.7380972444594253]
[11762, 0.7428158476449583]
[11820, 0.7423011844331642]
[11701, 0.7441244338090761]
[11650, 0.7454935622317597]
[11799, 0.7486227646410712]
[11654, 0.7522738973742921]
[11683, 0.7483523067705212]
[11602, 0.7473711429063955]
[11463, 0.7495420047108087]
[11517, 0.749934878874707]
[11572, 0.7481852748012444]
[11585, 0.7544238239102288]
[11620, 0.7597246127366609]
[11711, 0.7538211937494663]
[11762, 0.7575242305730318]
[12038, 0.7573517195547433]
[12076, 0.7666445842994369]
[12161, 0.7669599539511553]
[12052, 0.7725688682376369]
[12000, 0.7738333333333334]
[11995, 0.7689037098791163]
[12096, 0.7692625661375662]
[12009, 0.7725872262469814]
[12031, 0.7774914803424486]
[12093, 0.7724303315967915]
[12092, 0.7709229242474364]
[11950, 0.7707112970711297]
[11936, 0.7752178284182306]
[12111, 0.7787135661795063]
[12118, 0.7752104307641525]
[12081, 0.7752669481003228]
[12036, 0.7778331671651711]
[11800, 0.7901694915254237]
[11695, 0.7887131252672082]
[11774, 0.7903006624766434]
[11837, 0.7916701867027118]
[11763, 0.7868740967440279]
[12114, 0.7867756315007429]
[12110, 0.7805945499587118]
[12002, 0.783952674554241]
[11980, 0.7833889816360601]
[12038, 0.7787007808606081]
[12004, 0.7824891702765745]
[11907, 0.7838246409674982]
[11811, 0.7953602573871814]
[11940, 0.7926298157453936]
[12024, 0.7939121756487026]
[12061, 0.7872481552110107]
[12097, 0.7818467388608746]
[12028, 0.7771865646824078]
[12161, 0.7773209440013157]
[12072, 0.7702120609675281]
[12150, 0.7676543209876543]
[12207, 0.769640370279348]
[12253, 0.7695258304088795]
[12137, 0.7692180934333032]
[12365, 0.764415689446017]
[12262, 0.7560756809655848]
[11958, 0.7576517812343201]
[12001, 0.7597700191650696]
[12080, 0.756953642384106]
[12022, 0.7506238562635169]
[12117, 0.7477098291656351]
[12372, 0.7501616553507922]
[12403, 0.7582842860598242]
[12320, 0.7588474025974026]
[12390, 0.7547215496368038]
[12367, 0.7553974286407374]
[12301, 0.7572555076823022]
[12265, 0.7582551977170812]
[12380, 0.7606623586429725]
[12470, 0.7620689655172413]
[12477, 0.7618818626272341]
[12438, 0.7575172857372567]
[12246, 0.7600849256900213]
[12323, 0.762720116854662]
[12410, 0.7592264302981466]
[12321, 0.7599220842464086]
[12338, 0.7649538012643865]
[12455, 0.762826174227218]
[12569, 0.7547139788368208]
[12464, 0.7518453145057766]
[12413, 0.7476838798034319]
[12503, 0.7429416939934416]
[12582, 0.7438404069305357]
[12700, 0.7422834645669292]
[12675, 0.74232741617357]
[12539, 0.7433607145705399]
[12553, 0.7445232215406675]
[12478, 0.7427472351338356]
[12401, 0.7484880251592614]
[12336, 0.747568093385214]
[12306, 0.7510970258410531]
[12444, 0.7442140790742526]
[12363, 0.7485238210790262]
[12418, 0.7464970204541794]
[12520, 0.7504792332268371]
[12598, 0.7551992379742817]
[12567, 0.7557889711148246]
[12534, 0.755385351842987]
[12736, 0.7559673366834171]
[12751, 0.7557838600894048]
[12662, 0.757147370083715]
[12633, 0.7540568352726985]
[12727, 0.7570519368272177]
[12690, 0.749645390070922]
[12509, 0.7376289071868255]
[12473, 0.7399182233624629]
[12492, 0.7389529298751201]
[12470, 0.7336006415396953]
[12563, 0.7373238876064634]
[12664, 0.7347599494630449]
[12581, 0.733328034337493]
[12545, 0.7357512953367875]
[12469, 0.7314941053813457]
[12487, 0.7287579082245536]
[12582, 0.724686059450008]
[12696, 0.7192028985507246]
[12736, 0.7149811557788944]
[12696, 0.7161310649023315]
[12825, 0.7223391812865497]
[12691, 0.7225592939878654]
[12698, 0.7230272483855725]
[12741, 0.7256887214504356]
[12860, 0.7214618973561431]
[12956, 0.7136461870947823]
[12982, 0.7139115698659683]
[12975, 0.7238535645472062]
[12811, 0.7218796346889392]
[13137, 0.7289335464717972]
[13150, 0.7239543726235741]
[13409, 0.7247371168618092]
[13390, 0.7235250186706498]
[13101, 0.725975116403328]
[13234, 0.7241952546471211]
[13343, 0.7230008244023083]
[13578, 0.7308882015024304]
[13489, 0.7285195344354659]
[13433, 0.7305888483585201]
[13567, 0.735461045183165]
[13762, 0.7381921232379015]
[13685, 0.7394957983193278]
[13689, 0.7423478705529988]
[13552, 0.7440968122786304]
[13553, 0.7420497306869328]
[13564, 0.7459451489236214]
[13425, 0.7432402234636871]
[13447, 0.7426935375920279]
[13343, 0.747208274001349]
[13394, 0.7498880095565178]
[13408, 0.7423926014319809]
[13507, 0.7402087806322648]
[13505, 0.7399481673454276]
[13449, 0.7451855156517213]
[13445, 0.7417627370769803]
[13366, 0.7437528056262158]
[13337, 0.7428957036814876]
[13358, 0.7456206018865099]
[13433, 0.7461475470855357]
[13595, 0.7426995218830452]
[13572, 0.7430739758325965]
[13687, 0.738803243954117]
[13929, 0.7379567808170006]
[13890, 0.7411087113030957]
[13714, 0.7430363132565262]
[13683, 0.7360228020171015]
[13716, 0.73724117818606]
[13655, 0.7337971439033321]
[13519, 0.7382942525334714]
[13516, 0.7369783959751406]
[13491, 0.7376028463420058]
[13485, 0.7308861698183167]
[13367, 0.7311288995286901]
[13367, 0.7297822996932745]
[13278, 0.7296279560174725]
[13373, 0.7282584311672774]
[13357, 0.7346709590476903]
[13565, 0.73483228897899]
[13616, 0.7331081081081081]
[13613, 0.7359876588555058]
[13501, 0.7347603881193986]
[13435, 0.7357647934499442]
[13294, 0.7370242214532872]
[13352, 0.737417615338526]
[13174, 0.742826780021254]
[13316, 0.7442174827275458]
[13330, 0.750112528132033]
[13281, 0.7503953015586176]
[13491, 0.74167963827737]
[13727, 0.7448823486559336]
[13692, 0.740505404615834]
[13659, 0.7439051175049418]
[13681, 0.7422703018785176]
[13588, 0.7457315278186635]
[13366, 0.7450246895106988]
[13354, 0.7404522989366482]
[13608, 0.7405202821869489]
[13797, 0.7402333840690005]
[13746, 0.7365779135748581]
[13694, 0.740178180224916]
[13729, 0.7417874572073713]
[13712, 0.7475204200700116]
[13804, 0.7484062590553463]
[13843, 0.7508488044499024]
[13682, 0.7451395994737612]
[13797, 0.7477712546205697]
[13833, 0.753849490349165]
[13675, 0.76]
[13611, 0.7615164205422085]
[13637, 0.7620444379262301]
[13520, 0.7619822485207101]
[13545, 0.7680324843115541]
[13624, 0.7662213740458015]
[13550, 0.7715867158671587]
[13656, 0.7718951376684241]
[13744, 0.7764842840512224]
[13782, 0.7771005659555943]
[13906, 0.7726880483244642]
[13980, 0.7758941344778255]
[13996, 0.7788653901114604]
[14216, 0.7833427124366911]
[14230, 0.7868587491215742]
[14141, 0.7938618202390213]
[14159, 0.7951832756550604]
[14148, 0.7957308453491659]
[14409, 0.7913109861891873]
[14392, 0.7905780989438577]
[14482, 0.7907747548681121]
[14369, 0.7882246502888162]
[14292, 0.7921214665547159]
[14199, 0.7932248749911965]
[14125, 0.7891681415929204]
[14004, 0.7884175949728649]
[13824, 0.7847945601851852]
[13957, 0.7810417711542595]
[13989, 0.7863321180927871]
[13851, 0.7860082304526749]
[13915, 0.7832554796981674]
[13940, 0.7833572453371592]
[13763, 0.7847126353266003]
[13725, 0.7841894353369763]
[13481, 0.7829537868110674]
[13689, 0.7868361458105048]
[13934, 0.7868523037175255]
[13864, 0.7844777841892672]
[13764, 0.7781894798023831]
[13833, 0.778211523169233]
[13823, 0.770816754684222]
[13896, 0.764104778353483]
[14053, 0.7654593325268626]
[14211, 0.7690521427063542]
[14153, 0.7671871687981346]
[14148, 0.7635708227311281]
[14272, 0.7642236547085202]
[14289, 0.7659038421163132]
[14350, 0.7679442508710801]
[14278, 0.7653032637624317]
[14209, 0.7664156520515166]
[14266, 0.7644048787326511]
[14203, 0.7578680560444977]
[14096, 0.7575908059023837]
[14153, 0.7560234579241151]
[14176, 0.753456546275395]
[14134, 0.7538559501910287]
[14066, 0.7587800369685767]
[14173, 0.7555210611726523]
[14107, 0.7626001275962289]
[14256, 0.7644500561167228]
[14291, 0.7623679238681688]
[14298, 0.7614351657574486]
[14260, 0.7633239831697055]
[14069, 0.758333925652143]
[13824, 0.7596932870370371]
[13900, 0.7586330935251798]
[13989, 0.7646007577382229]
[13927, 0.7653478854024557]
[13635, 0.7658232489915658]
[13508, 0.7671009771986971]
[13659, 0.7639651511823706]
[13814, 0.7650209931953091]
[13937, 0.7695343330702447]
[13854, 0.7649776237909629]
[13771, 0.7529591169849684]
[13860, 0.7564213564213564]
[13742, 0.757677194003784]
[13819, 0.7562052246906433]
[13939, 0.7575148862902648]
[13934, 0.7565666714511268]
[13896, 0.7574122049510651]
[14049, 0.75208199871877]
[14112, 0.7490079365079365]
[14141, 0.7496640973057068]
[14243, 0.7526504247700625]
[14221, 0.7598621756557205]
[14107, 0.766002693698164]
[14118, 0.7680266326675167]
[14125, 0.767362831858407]
[14312, 0.7723588596981554]
[14461, 0.7663370444644215]
[14194, 0.7682119205298014]
[14157, 0.7714204986932259]
[14323, 0.7675766250087273]
[14247, 0.7722327507545448]
[14085, 0.7718139865104722]
[14057, 0.7712171871665362]
[13966, 0.7679364170127453]
[14057, 0.7641744326669987]
[14070, 0.7653873489694385]
[13937, 0.7726913970007893]
[13968, 0.771692439862543]
[13881, 0.7721345724371443]
[13945, 0.7683040516314091]
[13868, 0.7669454860109605]
